participant_id,timestamp,language,row_type,age_band,gender,education,ai_use_freq,law_familiarity,native_language,order_position,scenario_key,scenario_title,risk_level,condition,confidence_shown,is_probe,t_reliable,t_accurate,t_confident,t_wary,t_source,t_understand,t_use,t_rely,attention_check,attention_pass,manip_notice,manip_most_trusted,reflect_open,comment
20260603154749602652,2026-06-03 15:54:23,en,scenario,18–24,Male,Bachelor's degree,Daily,3,Maltese,1.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,,,,,,
20260603154749602652,2026-06-03 15:56:51,en,scenario,18–24,Male,Bachelor's degree,Daily,3,Maltese,2.0,speed,Speed Limits,low,RAG + Transparency,High,0.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,,,,,,
20260603154749602652,2026-06-03 15:58:07,en,scenario,18–24,Male,Bachelor's degree,Daily,3,Maltese,3.0,alcohol,Breath Test & Alcohol Limit,high,RAG (no transparency),,0.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,,,,,,
20260603154749602652,2026-06-03 15:59:36,en,scenario,18–24,Male,Bachelor's degree,Daily,3,Maltese,4.0,points,Penalty Points,medium,Baseline,,0.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,,,,,,
20260603154749602652,2026-06-03 16:00:31,en,final,18–24,Male,Bachelor's degree,Daily,3,Maltese,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,The fact that it used references put my mind more in ease,,,
20260603161930063324,2026-06-03 16:59:33,en,scenario,18–24,Male,Bachelor's degree,Daily,2,English,1.0,alcohol,Breath Test & Alcohol Limit,high,Baseline,,0.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,,,,,,
20260603161930063324,2026-06-03 17:00:39,en,scenario,18–24,Male,Bachelor's degree,Daily,2,English,2.0,speed,Speed Limits,low,RAG (no transparency),,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603161930063324,2026-06-03 17:01:26,en,scenario,18–24,Male,Bachelor's degree,Daily,2,English,3.0,points,Penalty Points,medium,RAG + Transparency,High,0.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,,,,,,
20260603161930063324,2026-06-03 17:03:56,en,scenario,18–24,Male,Bachelor's degree,Daily,2,English,4.0,probe,Lending Your Car,medium,RAG + Transparency,Low,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
20260603161930063324,2026-06-03 17:04:12,en,final,18–24,Male,Bachelor's degree,Daily,2,English,,,,,,,,,,,,,,,,"Yes, clearly",Answers that showed sources and confidence,,,,
